file	answers	answer	objectives	vocab	real-world	remember	you-try	you-try-m	think	gotcha	note
/home/andyross/Documents/Algebra1/chapters/Unit_4/index.qmd	0	0	0	0	0	0	0	0	0	0	0
/home/andyross/Documents/Algebra1/chapters/Unit_4/Review.qmd	1	0	0	0	0	0	0	0	0	0	0
/home/andyross/Documents/Algebra1/chapters/Unit_5/5.1_Exponent_Rules.qmd	1	0	1	1	0	0	9	0	0	1	3
/home/andyross/Documents/Algebra1/chapters/Unit_5/5.2_Simplifying_Polynomials.qmd	1	1	1	1	0	0	2	1	0	0	0
/home/andyross/Documents/Algebra1/chapters/Unit_5/5.3_Multiplying_Polynomials.qmd	1	0	1	1	0	0	5	0	0	0	2
/home/andyross/Documents/Algebra1/chapters/Unit_5/5.4_Factoring_Polynomials_A.qmd	1	0	1	1	0	1	5	0	0	1	1
/home/andyross/Documents/Algebra1/chapters/Unit_5/5.5_Factoring_Polynomials_B.qmd	1	0	1	1	0	0	6	0	0	0	2
/home/andyross/Documents/Algebra1/chapters/Unit_5/index.qmd	0	0	0	0	0	0	0	0	0	0	0
/home/andyross/Documents/Algebra1/chapters/Unit_5/Review.qmd	1	0	0	0	0	0	0	0	0	0	0
/home/andyross/Documents/Algebra1/chapters/Unit_6/6.1_Introduction_to_Quadratic_Functions.qmd	1	3	1	1	1	0	4	3	0	0	0
/home/andyross/Documents/Algebra1/chapters/Unit_6/6.2_Graphing_Quadratics.qmd	1	1	1	1	0	0	4	1	0	1	1
/home/andyross/Documents/Algebra1/chapters/Unit_6/6.3_Solving_Quadratic_Equations_by_Factoring.qmd	1	0	1	1	0	0	1	0	0	0	0
/home/andyross/Documents/Algebra1/chapters/Unit_6/6.4_Completing_the_Square.qmd	1	0	1	1	0	0	2	0	0	0	1
/home/andyross/Documents/Algebra1/chapters/Unit_6/6.5_The_Quadratic_Formula.qmd	1	0	1	1	0	0	2	0	0	0	1
/home/andyross/Documents/Algebra1/chapters/Unit_6/6.6_Applications_of_Quadratics.qmd	1	2	1	1	0	0	2	2	0	0	1
/home/andyross/Documents/Algebra1/chapters/Unit_6/index.qmd	0	0	0	0	0	0	0	0	0	0	0
/home/andyross/Documents/Algebra1/chapters/Unit_6/Review.qmd	1	0	0	0	0	0	0	0	0	0	0
